Topic,Definition
ABANDONMENT,Giving up the proprietary rights in insured property to the Underwriter in exchange for payment of a constructive total loss.
ACCIDENT,"An unexpected fortuitous event, unforeseen and unintended, not under the control of an insured and resulting in a loss."
ACCIDENT FREQUENCY,The number of times an accident occurs. Used in predicting losses upon which premiums are based.
ACCIDENT INSURANCE,A form of health insurance against loss by bodily injury.
ACCIDENTAL DEATH,"Coverage in the event of death due to an accident, usually in combination with dismemberment insurance."
ACCOUNTS RECEIVABLE POLICY,An inland marine (also burglary) policy written to protect the insured from financial loss due to his inability to collect amounts owed him because of the destruction of his records.
ACT OF GOD,"A flood, an earthquake or other accident or event that is without any human intervention and that could not have been prevented by reasonable care or foresight, but is the result of natural causes (A snowstorm is an Act of God; driving in one is an act of man)."
ACTUAL CASH VALUE,"The sum of money required to pay for damages or lost property, computed on the basis of replacement value less its depreciation by obsolescence or general wear."
ACTUARY,A professional trained in the mathematics of insurance and risk management.
ADD-ONS,Additional coverages to your basic policy.
ADDITIONAL INSURED,"A person or firm or corporation other than the named insured on a policy or mortgage company named in a mortgagee clause, who is protected against loss by the terms of the policy or mortgage company named in the mortgage clause."
ADJUSTER,An individual representing the insurance company and acting for the company in working on agreements as to the amount of a loss and the liability of the company in same.
ADVERSE SELECTION,Selection against the insurance company; the tendency of more poor risks to buy and maintain insurance than good risks.
AGENTS,Two types of agents sell insurance: (1) Independent Agents are self-employed business people who typically represent more than one insurance company and are paid on a commission basis; and (2) Exclusive Agents represent only one insurance company and may be salaried or work on a commission basis.
ALL RISK,"Insurance against loss or damage to property arising from any fortuitous cause, except such as may be specifically excluded."
ANNUITY,A life insurance company contract that pays a periodic income benefit for a specified period of time.
APPLICATION,A signed statement by a prospective insured client which becomes a part of the insurance contract.
APPRAISAL,A survey of property made for determining its insurable value or the amount of loss sustained.
ASSIGNMENT,The passing of beneficial rights from one party to another.
ASSIGNED RISK,"A risk which underwriters do not care to insure, but because of state law or otherwise, the insured must be protected and the insurance is therefore handled through the state and assigned to companies."
ASSUMED LIABILITY,Liability which would not rest upon a person except that he has accepted responsibility by contract expressed or implied. This is also known as contractual liability.
AUTOMOBILE INSURANCE PREMIUM DISCOUNTS,"A discount offered to drivers for such safeguards as air bags, seat belts, good driving record, anti-theft devices, multiple vehicles, etc."
AUTOMOBILE FLEET POLICY,A commercial automobile policy covering five or more automobiles.
AVERAGE,A marine partial loss. This can be particular average or general average (see below).
AVERAGE CLAUSE,"A clause in a marine insurance policy, whereby partial losses are subject to special conditions (e.g. a franchise or deductible is to be applied to claims)."
BAILEE,A person or concern having possession of property committed in trust from the owner.
BAILEES CUSTOMERS POLICY,"A policy providing for loss or or damages to property of bailees customers, payable either to bailees for their account or direct to customers."
BASIC COVERAGE FORM,"Any of the commercial or personal insurance property forms which provide basic coverages. These forms generally provide the most limited coverage, which is surpassed by ""Broad Forms"" and ""Special Forms."""
BASIC RATE,"The manual rate, from which are taken discounts or to which are added charges to compensate for the individual circumstances of the risk."
BENEFICIARY,Designation by the owner of a life insurance policy indicating to whom the proceeds are to be paid upon the insureds death or when an endowment matures.
BENEFIT OF INSURANCE CLAUSE,"A clause by which the bailee of goods claims the benefit of any insurance policy effected by the cargo owner on the goods in care of the bailee. Such a clause in a contract of carriage, issued in accordance with the Carriage of Goods by Sea Act, is void at law."
BILL OF LADING,"Contract of carriage and receipt for goods, issued by carrier."
BINDER,"(Or Binding Receipt):  In lines other than life and health, a binder is an acknowledgement (usually from the agent) that insurance applied for is in force whether or not premium settlement has yet been made or the policy issued. In life and health insurance, binders are not issued, but if premium settlement is made with the application, what is often erroneously referred to as a ""binder"" is issued. Actually this is a conditional binding receipt."
BLANKET INSURANCE,"(1) Property-liability insurance that covers more than one type of property in one location in one policy or form instead of under separate items, or one or more types of property at more than one location; (2) A contract of health insurance that covers all of a class of persons not individually identified."
BODILY INJURY LIABILITY,The liability which may arise from injury or death of another person.
BOILER AND MACHINERY POLICY,"Insurance against loss due to accidents to boilers, pressure vessels or other machinery including the equipment itself, as well as liability arising out of the accident."
BOND,An obligation of the insurance company to protect one against financial loss caused by acts of another.
BUILDERS RISK COVERAGE FORM,A commercial property coverage form specifically designed for buildings in the course of construction.
